product_id,product_name,category,subcategory,brand,seller_id,list_price,unit_cost
P00001,Resham Loom 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0030,2299,1262
P00002,Zari Studio 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0020,3999,2351
P00003,Zari Studio Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0022,4899,2456
P00004,Saaya Kids T-Shirt Pack,Fashion,Kids Clothing,Saaya,S0013,1799,986
P00005,Chaman Wear Kids Frock,Fashion,Kids Clothing,Chaman Wear,S0026,2699,1510
P00006,Noor Threads Kids T-Shirt Pack,Fashion,Kids Clothing,Noor Threads,S0029,1399,709
P00007,Noor Threads Kurta Shalwar Set,Fashion,Men's Kurta,Noor Threads,S0014,4999,2661
P00008,Resham Loom Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0007,2299,1216
P00009,Noor Threads Cotton Kurta,Fashion,Men's Kurta,Noor Threads,S0020,1799,1016
P00010,Saaya Kids T-Shirt Pack,Fashion,Kids Clothing,Saaya,S0033,1999,1188
P00011,Chaman Wear Kids Frock,Fashion,Kids Clothing,Chaman Wear,S0024,3099,1573
P00012,Chaman Wear Kids T-Shirt Pack,Fashion,Kids Clothing,Chaman Wear,S0025,1549,932
P00013,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0033,2499,1332
P00014,Noor Threads Kids T-Shirt Pack,Fashion,Kids Clothing,Noor Threads,S0005,949,573
P00015,Zari Studio Cotton Kurta,Fashion,Men's Kurta,Zari Studio,S0016,5399,2723
P00016,Resham Loom Kids Frock,Fashion,Kids Clothing,Resham Loom,S0019,2499,1247
P00017,Noor Threads Kids T-Shirt Pack,Fashion,Kids Clothing,Noor Threads,S0013,949,544
P00018,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0026,2699,1351
P00019,Zari Studio Kids Frock,Fashion,Kids Clothing,Zari Studio,S0008,1999,1103
P00020,Resham Loom Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0023,2299,1308
P00021,Resham Loom Kids T-Shirt Pack,Fashion,Kids Clothing,Resham Loom,S0008,2699,1425
P00022,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0020,1499,773
P00023,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0003,1399,846
P00024,Saaya Kids Kurta,Fashion,Kids Clothing,Saaya,S0010,1499,906
P00025,Zari Studio Kurta Shalwar Set,Fashion,Men's Kurta,Zari Studio,S0024,3499,1923
P00026,Resham Loom Kids Frock,Fashion,Kids Clothing,Resham Loom,S0005,1449,720
P00027,Resham Loom Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Resham Loom,S0015,4799,2882
P00028,Zari Studio Kurta Shalwar Set,Fashion,Men's Kurta,Zari Studio,S0025,3299,1718
P00029,Chaman Wear Kids T-Shirt Pack,Fashion,Kids Clothing,Chaman Wear,S0011,2899,1623
P00030,Saaya Kids Kurta,Fashion,Kids Clothing,Saaya,S0022,1299,665
P00031,Resham Loom 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0029,3099,1801
P00032,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0015,1649,964
P00033,Saaya Kids Kurta,Fashion,Kids Clothing,Saaya,S0030,2399,1214
P00034,Chaman Wear Wash & Wear Suit,Fashion,Men's Kurta,Chaman Wear,S0022,5199,2594
P00035,Zari Studio Cotton Kurta,Fashion,Men's Kurta,Zari Studio,S0032,1999,1004
P00036,Zari Studio 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0016,4099,2079
P00037,Saaya Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Saaya,S0013,2399,1267
P00038,Chaman Wear 3-Piece Lawn Suit,fashion,Women's Unstitched Lawn,Chaman Wear,S0014,3699,2182
P00039,Noor Threads Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Noor Threads,S0010,4099,2223
P00040,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0018,4599,2399
P00041,Chaman Wear Kids Kurta,Fashion,Kids Clothing,Chaman Wear,S0012,2099,1254
P00042,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0029,2999,1500
P00043,Noor Threads 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Noor Threads,S0003,6799,3389
P00044,Noor Threads 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Noor Threads,S0016,4699,2631
P00045,Zari Studio Kids T-Shirt Pack,Fashion,Kids Clothing,Zari Studio,S0010,899,461
P00046,Saaya Kids Kurta,Fashion,Kids Clothing,Saaya,S0010,2699,1471
P00047,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0003,3099,1643
P00048,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0010,3499,1854
P00049,Noor Threads Kids T-Shirt Pack,fashion,Kids Clothing,Noor Threads,S0025,949,545
P00050,Zari Studio 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0024,5399,3025
P00051,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0005,1099,605
P00052,Noor Threads Embroidered Lawn Suit,Fashion ,Women's Unstitched Lawn,Noor Threads,S0033,2199,1230
P00053,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0004,4899,2760
P00054,Resham Loom Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Resham Loom,S0015,2299,1306
P00055,Zari Studio Kids Frock,Fashion,Kids Clothing,Zari Studio,S0002,899,531
P00056,Resham Loom Kids Frock,Fashion,Kids Clothing,Resham Loom,S0007,1949,1110
P00057,Saaya Wash & Wear Suit,Fashion,Men's Kurta,Saaya,S0009,3399,1839
P00058,Chaman Wear Kids T-Shirt Pack,Fashion,Kids Clothing,Chaman Wear,S0002,899,485
P00059,Noor Threads Kids Frock,Fashion,Kids Clothing,Noor Threads,S0022,2799,1431
P00060,Zari Studio Cotton Kurta,Fashion,Men's Kurta,Zari Studio,S0023,2199,1309
P00061,Resham Loom Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0030,3899,2093
P00062,Chaman Wear Wash & Wear Suit,Fashion,Men's Kurta,Chaman Wear,S0022,4099,2286
P00063,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0024,4899,2479
P00064,Resham Loom 3-Piece Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0016,5499,2950
P00065,Saaya Kids Frock,Fashion,Kids Clothing,Saaya,S0021,2799,1573
P00066,Chaman Wear Kurta Shalwar Set,Fashion,Men's Kurta,Chaman Wear,S0001,2799,1529
P00067,Noor Threads Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Noor Threads,S0012,3499,1795
P00068,Saaya Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Saaya,S0001,3299,1669
P00069,Saaya Cotton Kurta,Fashion,Men's Kurta,Saaya,S0012,4799,2474
P00070,Chaman Wear Cotton Kurta,Fashion,Men's Kurta,Chaman Wear,S0016,2999,1643
P00071,Zari Studio Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Zari Studio,S0023,4899,2561
P00072,Resham Loom Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Resham Loom,S0010,5599,3378
P00073,Zari Studio Cotton Kurta,Fashion,Men's Kurta,Zari Studio,S0020,5199,2748
P00074,Chaman Wear Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Chaman Wear,S0027,2499,1386
P00075,Noor Threads Cotton Kurta,Fashion,Men's Kurta,Noor Threads,S0015,2399,1342
P00076,Saaya Kurta Shalwar Set,Fashion,Men's Kurta,Saaya,S0028,2499,1446
P00077,Saaya Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Saaya,S0020,2799,1661
P00078,Noor Threads Kids T-Shirt Pack,Fashion,Kids Clothing,Noor Threads,S0006,1249,675
P00079,Chaman Wear Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Chaman Wear,S0030,2999,1773
P00080,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0024,1749,897
P00081,Zari Studio Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0001,6499,3568
P00082,Chaman Wear Kurta Shalwar Set,Fashion,Men's Kurta,Chaman Wear,S0028,3299,1679
P00083,Zari Studio Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Zari Studio,S0028,3999,2223
P00084,Resham Loom Kids Kurta,Fashion,Kids Clothing,Resham Loom,S0029,1249,744
P00085,Resham Loom Printed Lawn 2-Piece,Fashion,Women's Unstitched Lawn,Resham Loom,S0003,4599,2546
P00086,Noor Threads Wash & Wear Suit,Fashion,Men's Kurta,Noor Threads,S0005,5399,2951
P00087,Noor Threads Kids Frock,Fashion,Kids Clothing,Noor Threads,S0023,2899,1544
P00088,Saaya Embroidered Lawn Suit,Fashion,Women's Unstitched Lawn,Saaya,S0002,4699,2436
